"Name","House","Expansion – #","Type","Rarity","Aerc Min","Aerc Max","Amber Control","Amber Control Max","Expected Amber","Expected Amber Max","Creature Protection","Creature Protection Max","Artifact Control","Artifact Control Max","Creature Control","Creature Control Max","Effective Power","Effective Power Max","Efficiency","Efficiency Max","Recursion","Recursion Max","Disruption","Disruption Max","Other","Other Max","Raw Amber","Power","Armor","Wins","Losses","SAS traits","Synergies","Traits","Text","Flavor Text"
"1-2 Punch","Brobnar","AGE_OF_ASCENSION – 001","Action","Common","1.5","1.75","0","","1","","0","","0","","0.5","0.75","0","","0","0","","","0","","0","","1","","","15377","16330","stuns – 3 – anyHouse","stuns – 2 – anyHouse","","Play: Stun an enemy creature. If that creature was already stunned, destroy it instead. ","Giants can count past two, but why bother?"
"Anger","Brobnar","CALL_OF_THE_ARCHONS – 001","Action","Common","1.75","2","0","","1","","0","","0","","0.75","1","0","","0","0","","","0","","0","","1","0","0","27485","25255","causesFighting – 3 – anyHouse","skirmish – 3 – anyHouse","","Play: Ready and fight with a friendly creature.","“Don’t make them angry you say? Heh. The Brobnar are born angry.” –Old Bruno"
"Alaka","Brobnar","WORLDS_COLLIDE – 001","Creature","Common","1.3","1.5499999999999998","0","","0.5","0.75","0","","0","","0","","4","","0","0","","","0","","0","","0","4","","10187","11620","","causesFighting – 3 – house | goodFight – 3 – house | readies – 3 – house","GIANT","If you have used a creature to fight this turn, Alaka enters play ready.",""
"Alaka’s Brew","Brobnar","WORLDS_COLLIDE – 002","Action","Common","1.25","","0","","1","","0.25","","0","","0","","0","","0","0","","","0","","0","","1","","","1126","1253","protectsCreatures – 2 – anyHouse | increasesCreaturePower – 2 – anyHouse | protectsFromEffects – 2 – anyHouse","","","Play: Give a creature two +1 power counters.","Hints of iron shavings and Macis venom."
"Bingle Bangbang","Brobnar","AGE_OF_ASCENSION – 002","Creature","Common","1.1","1.6","0","","0","","0","","0","","0.5","1","2","","0","0","","","0","","0","","0","2","","15070","16907","goodFight – 3 – anyHouse","causesFighting – 3 – anyHouse","GOBLIN","Before Fight: Deal 5D to each neighbor of the creature Bingle Bangbang fights.","“Boom!”"
"Ballcano","Brobnar","WORLDS_COLLIDE – 003","Action","Common","0.75","2","0","","0","","0","","0","","2.25","3.5","-5","","-1","0","","","0","","0","","0","","","9295","10979","dangerousRandomPlay – 4 – anyHouse | chains – 3 – anyHouse | dealsDamage – 3 – anyHouse | damagesMultiple – 3 – anyHouse | boardClear – 2 – anyHouse","highCreatureCount – -2 – anyHouse | any – -1 – anyHouse | any – 1 – anyHouse | highTotalArmor – 2 – anyHouse","","Play: Deal 4D to each creature. Gain 2 chains.","A weapon of great magma-tude."
"Brammo","Brobnar","AGE_OF_ASCENSION – 003","Creature","Common","1.65","2.15","0","","0","","0","","0","","0.75","1.25","5","","0","0","","","0","","0","","0","4","1","16609","17273","dealsDamage – 3 – anyHouse | damagesMultiple – 2 – anyHouse | goodPlay – 2 – anyHouse","replays – 2 – house","KNIGHT | GIANT","Play: Deal 2D to each enemy flank creature.","“Is that short for Brammunition?” – Dodger"
"Barn Razing","Brobnar","WORLDS_COLLIDE – 004","Action","Common","0.25","1.5","0.25","1.5","0","","0","","0","","0","","0","","0","0","","","0","","0","","0","","","9205","11158","","causesFighting – 1 – house | lowCreatureCount – -2 – house | highCreatureCount – 2 – house","","Play: For the remainder of the turn, your opponent loses 1A each time a friendly creature fights.",""
"Brothers in Battle","Brobnar","CALL_OF_THE_ARCHONS – 004","Action","Rare","1.25","1.75","0","","1","","0","","0","","0.25","0.75","0","","0","0","","","0","","0","","1","0","0","2973","2779","causesFighting – 3 – outOfHouse","lowTotalCreaturePower – -3 – anyHouse | highTotalCreaturePower – 3 – anyHouse | skirmish – 3 – outOfHouse","","Play: Choose a house. For the remainder of the turn, each friendly creature of that house may fight.",""
"Coward’s End","Brobnar","CALL_OF_THE_ARCHONS – 007 | AGE_OF_ASCENSION – 004","Action","Common","1.5","2.5","0","","0","","0","","0","","3.5","4.5","-5","","-1.5","0","","","0","","0","","0","","","38140","39259","chains – 3 – anyHouse | dangerousRandomPlay – 3 – anyHouse | destroys – 3 – anyHouse | boardClear – 3 – anyHouse","addsArmor – -2 – anyHouse | highTotalArmor – -2 – anyHouse | damagesMultiple – -3 – anyHouse | distributableDamage – 3 – anyHouse","","Play: Destroy each undamaged creature. Gain 3 chains.",""
